word,x,y
banges,-4.7764015,-0.9259323
banging,-1.254116,1.1560196
bangles,1.3325372,1.8113385
bangs,-2.9135535,0.7172912
banished,-3.6715035,-0.7906815
banisters,-1.5551404,2.1016333
bank,-2.3344893,0.47357702
banks,0.35623658,1.3696511
banned,-0.33296993,-1.8162779
banner,-3.1193266,-0.5944598
banners,2.863504,3.0474627
banshee,1.4779406,-0.23207451
bar,-1.0601376,0.44742906
bard,0.8933275,-0.7163766
bare,-3.5593047,-0.8311896
bared,-3.0465634,1.6161957
barely,-0.10485072,0.67773944
bargain,2.0297678,-3.4282558
bark,-1.0953238,0.7196881
barked,-2.6942909,-1.7532163
barking,-2.9716213,1.5046687
barks,0.058951464,1.3752931
barman,-0.8821181,1.5168073
barmy,1.0153617,-2.2282686
barn,-1.4137107,0.12150921
barnabas,1.8156486,-2.60204
barny,-2.8532982,-2.5721645
baron,-2.0007865,-0.26707125
barrel,-1.4222444,2.359849
barrier,-0.42309764,0.086693175
bars,-0.43452722,-1.6095734
barty,2.4432397,-0.78178746
base,-1.4070411,3.322938
basement,1.1464878,1.8682498
basic,0.71082044,-3.0717418
basics,-0.81392145,-2.134168
basil,-3.522666,-0.5475625
basilisk,-3.5316694,-0.4976259
basin,0.68925685,2.7821474
basket,-2.750291,0.6241435
bat,-0.7510933,2.2392685
bated,-2.1239538,-0.24328466
bath,-0.39024776,0.1076454
bathed,-1.1254187,3.223507
bathilda,3.3781629,0.49613166
bathroom,-1.601633,-0.088711545
batlike,-1.8570911,2.981164
bats,-3.3365169,1.2632337
battered,-2.8280418,-2.1324542
battle,3.8036094,0.18444675
battling,-2.573895,0.27430132
batty,-0.07459938,-3.0686607
baubles,-2.380337,1.1779246
bawling,-3.5134733,2.48615
bay,-0.9095664,-1.4806458
beaded,-0.8426603,1.9137132
beadily,3.0381644,3.0644817
beads,0.75729287,2.8276625
beady,-2.1220315,3.7524822
beak,-4.558319,-0.1552593
beaky,0.22103812,3.087595
beam,0.34367925,2.1830618
beamed,1.2176682,1.3009002
beaming,1.1684513,1.2766829
beams,-2.079337,2.5260198
bean,0.7026037,3.1405683
beans,-1.4118383,-1.5779065
bear,0.3184529,-0.41979706
beard,-0.17167722,2.936439
bearded,-1.4415247,4.167274
bearing,-1.0238674,1.0603927
beast,0.41819212,1.1280415
beasts,1.828985,-1.6236229
beat,-1.7818016,-1.0744492
beaten,0.1962222,-1.9243633
beater,-3.3102221,-1.2002555
beaters,-2.2344446,-1.0887789
beating,1.148416,3.9423604
beats,0.021508245,-3.1791584
beautiful,0.38907066,1.3510773
beauty,1.845857,4.096578
beauxbatons,2.6859996,-3.179671
became,-0.81194824,2.260134
beckoned,-1.8195289,0.86604387
beckoning,-1.7684621,-1.0223789
become,1.4779516,-1.4015149
becomes,3.4871767,-2.8302588
becoming,2.5778558,-2.2868817
bed,-0.83970004,0.9484734
bedroom,-1.6240346,0.74440825
beds,-1.0328759,1.0734879
bedside,-1.1990675,0.85198605
bedspread,-2.638554,1.8150548
beech,-2.5603826,2.4077
beedle,1.4450719,0.6206838
beef,-2.7082846,3.0589857
beetle,-0.16099574,-1.5269644
beetleblack,-0.19701043,1.5681751
beetles,-3.190942,1.9881585
beforehand,-0.51267076,-1.3979121
beg,1.475291,-0.25674924
began,-0.69950205,1.0989501
begged,-0.7739017,-0.08010578
begging,1.8646574,-1.8839736
begin,1.0865666,0.0013219201
beginners,-0.8384272,-2.976787
beginning,1.9592541,-0.44477054
begins,2.2867904,-0.64521855
begun,-0.651409,-0.11265304
behave,-0.68226695,-3.0004287
behaved,-0.7054951,-3.0504303
behaving,-0.7364209,-0.7803358
behavior,0.8132423,-0.28352728
behind,-1.0162064,1.0271177
bein,-3.438763,-0.73275626
belby,-4.0988817,0.4829336
belief,1.1214348,-1.3250589
believe,0.5416127,-0.48958445
believed,2.1226482,-0.3032018
believes,1.3505981,-1.2326827
believing,-1.6546826,-0.90688163
bell,-2.0678022,-0.49328044
bella,-0.6840309,-0.9697443
bellatrix,1.2601342,0.62674147
bellowed,-0.6548058,0.34315562
bellowing,-0.9544146,0.52002376
belly,-1.8632351,1.9872034
belong,-1.0830827,-1.8928131
belonged,0.07882555,1.037755
belonging,-2.519896,2.2842593
belongs,1.1724113,-1.8454628
beloved,-0.383235,-0.66611207
below,-1.6346567,1.4829715
belt,-0.5085455,2.6227374
bemused,-0.9111256,-2.240553
bench,-2.9157598,2.8097653
benches,-1.6583246,1.0188526
bend,-2.1712205,1.7277632
bending,0.4596116,4.0791626
beneath,-1.0133977,3.2691422
benefit,1.5732685,-2.813202
bent,-0.13328603,1.3578398
berserk,-2.445121,-0.9728999
berth,-1.8510228,1.5257329
bertha,4.042441,-1.0204407
bertie,2.9794674,-0.037552476
bes,0.9583795,-2.2534256
beside,-1.1500558,1.3425763
bespectacled,0.39661047,1.5160702
best,0.41685307,-0.70368165
bet,-0.00927705,-1.7358931
betray,1.3127135,-0.7456966
betrayal,1.515317,-0.020157902
betrayed,0.8629267,0.034795526
better,-0.16923739,-0.67259806
betting,1.6349316,-1.6353703
between,-0.30563796,1.1346184
beware,-0.27026364,-3.8848395
bewildered,-0.077769905,0.26381972
bewilderment,-0.870059,2.9631085
bewitch,1.2011243,-0.5127839
bewitched,-0.19226155,-0.8230803
bewitching,3.9684236,0.24310507
beyond,-2.0270526,0.50605255
bezoar,0.25579974,-0.6703495
bickering,-0.121699624,-0.48652205
bid,-1.3935003,-0.59919304
bidding,1.657197,-1.4058803
big,-0.37803861,-0.7365648
bigger,0.0717365,-0.97844243
biggest,0.6547966,-1.8651989
bike,1.5865299,-0.72206795
bill,-0.88812166,-0.1641294
billowed,0.04230203,2.3250575
billowing,-1.2895114,1.551473
bin,0.3874985,-2.4361262
bind,2.5375,-1.8036305
binding,2.147656,0.729678
binns,0.18206371,-0.16622335
binoculars,-0.7070973,1.2509028
biography,2.1784651,-0.49686915
bird,0.12851089,1.1294019
birds,-0.40993822,-0.4652729
birth,-0.1752232,2.9751966
birthday,-1.2967924,-2.2209702
birthdays,-0.47528335,-2.214312
biscuits,2.8518672,-0.45346558
